temprature,power_usage,usage_percent
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
43,4144,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3398,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
42,3347,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
43,3335,0
